Date,timesfm25_1024_AR_neg,chronos2_8192_ARX_temporal,chronos2_2048_ARX_temporal,timesfm25_8192_AR_neg,chronos2_1024_ARX_temporal,timesfm25_2048_AR_neg,LEAR
2023-01-01 00:00:00,1.4247437,13.265472,12.093796,3.6330872,15.789917,2.2361755,
2023-01-01 01:00:00,-4.1971436,11.0903015,10.591034,2.985382,14.075897,-1.0921326,
2023-01-01 02:00:00,-7.9649353,9.672455,8.554199,0.10536194,11.732422,-4.9163513,
2023-01-01 03:00:00,-12.242798,9.9770355,8.710022,-6.642227,11.733383,-9.832413,
2023-01-01 04:00:00,-12.8845215,9.460358,8.540222,-5.6569977,10.277817,-9.660599,
2023-01-01 05:00:00,-3.5014038,11.502609,9.899002,0.68959045,12.685562,0.23179626,
2023-01-01 06:00:00,7.256378,10.401688,8.450165,12.370407,10.696304,10.512741,
2023-01-01 07:00:00,22.50203,14.460266,10.721497,24.904785,13.419647,24.795883,
2023-01-01 08:00:00,34.269104,17.328232,12.162674,39.76767,13.4096985,37.82283,
2023-01-01 09:00:00,40.81703,20.92157,14.304916,47.595413,14.288406,46.572464,
2023-01-01 10:00:00,45.00316,22.247467,15.177292,47.711273,14.1575165,48.342422,
2023-01-01 11:00:00,50.908737,23.987808,15.9028015,46.59767,14.723953,50.64406,
2023-01-01 12:00:00,44.084946,25.08258,17.206696,42.28061,17.393936,45.028214,
2023-01-01 13:00:00,49.88504,22.036667,14.856232,44.441513,13.624954,46.85138,
2023-01-01 14:00:00,52.661438,24.21141,16.57373,51.172745,14.966949,51.866257,
2023-01-01 15:00:00,58.69171,27.993057,20.203232,59.01468,17.87828,59.893173,
2023-01-01 16:00:00,70.87077,46.95955,37.14308,77.0621,23.353485,72.960144,
2023-01-01 17:00:00,90.55333,59.755493,49.717987,95.22514,39.40036,88.711044,
2023-01-01 18:00:00,105.911224,66.938126,56.515945,112.340256,48.25093,100.605064,
2023-01-01 19:00:00,108.07762,70.47087,60.669525,113.37491,52.441055,98.50182,
2023-01-01 20:00:00,98.47058,70.21507,62.943115,100.66055,55.9525,86.04982,
2023-01-01 21:00:00,78.637344,64.81351,59.161545,81.34343,54.61644,66.37947,
2023-01-01 22:00:00,63.620758,60.81093,57.980606,68.33411,54.104416,54.781616,
2023-01-01 23:00:00,48.59453,57.94571,54.75943,54.457855,54.532608,44.30664,
2023-01-02 00:00:00,34.964172,44.587723,40.671814,34.84192,41.412918,33.427658,
2023-01-02 01:00:00,29.568466,42.190155,39.40161,35.05426,38.59488,30.222458,
2023-01-02 02:00:00,27.907303,39.689087,37.017715,33.001053,33.64595,26.975952,
2023-01-02 03:00:00,26.787582,42.183777,38.29065,26.576874,33.435837,23.010727,
2023-01-02 04:00:00,29.346878,48.566452,44.093018,30.853851,37.59018,26.439606,
2023-01-02 05:00:00,42.4077,58.390152,51.02063,40.2442,43.207535,38.950653,
2023-01-02 06:00:00,55.07257,73.01335,68.93204,56.457153,57.334198,52.895813,
2023-01-02 07:00:00,80.14574,95.34871,95.099335,80.665115,77.1824,75.29209,
2023-01-02 08:00:00,96.58113,122.718666,130.36827,99.35159,104.717926,91.382355,
2023-01-02 09:00:00,100.7684,128.06996,129.74898,105.595795,105.4613,97.889656,
2023-01-02 10:00:00,99.39638,127.17598,126.04481,101.80484,105.885315,94.85213,
2023-01-02 11:00:00,101.01097,124.26057,122.798805,97.42909,100.665375,94.37782,
2023-01-02 12:00:00,98.992004,122.59927,124.13868,94.21672,101.62808,91.413795,
2023-01-02 13:00:00,103.647354,120.77485,125.15932,97.33855,101.078354,92.72186,
2023-01-02 14:00:00,107.97505,129.79224,131.24031,105.97911,110.17149,100.91432,
2023-01-02 15:00:00,115.82825,136.80046,140.24219,114.83548,119.601685,112.45465,
2023-01-02 16:00:00,123.23221,151.66542,156.65198,133.15291,148.79437,128.55457,
2023-01-02 17:00:00,143.78876,170.26767,179.42719,152.79575,173.19284,145.78754,
